Category,Name,Location ,Justification,MLA Decision,Email Address,Best Contact,Notes
ACCELERATORS & INCUBATORS,SparkLabs Cultiv8,Australia,Leading agri-food tech accelerator partnering with MLA. Relevant to all challenges.,Yes,jonathon@sparklabscultiv8.com,Jonathon Quigley - Co-Founder & Partner (jonathon@sparklabscultiv8.com) OR Contact Form: https://www.sparklabscultiv8.com/contact-us,
UNIVERSITIES,University of Massachusetts Amherst - Food Science,USA (Massachusetts),"Food Science Extension Program supports development from concept to commercialization. Industrial Strategic Research Alliance partners with 30+ multinational food companies since 1995. Focus on food safety, product development, packaging.",,,amanda.kinchla@foodsci.umass.edu, m@foodsci.umass.edu,Amanda Kinchla - Extension Professor (amanda.kinchla@foodsci.umass.edu) OR Dept Head: Lynne McLandsborough (m@foodsci.umass.edu) 413-545-1016,"Location: Stockbridge Hall, 80 Campus Center Way, Amherst, MA 01003-9246. Phone: (413) 545-4800"
UNIVERSITIES,University of British Columbia - Food & Beverage Innovation Centre,Canada (British Columbia),"New Food and Beverage Innovation Centre bringing together services and technology for BC's agriculture, agri-food and seafood industry. UILO enables 1,200+ partnerships annually between industry and researchers.",,,partnerships@innovation.ubc.ca,Partnerships: partnerships@innovation.ubc.ca OR UILO for research collaboration,"BC Food Hub Network member. Inventions and licensing team assesses commercial potential, develops patenting strategies, negotiates with licensees."
UNIVERSITIES,Rutgers Food Innovation Center,USA (New Jersey),"Multiple locations providing product development, pilot plant services, and commercialization support. Executive Director Nolan Lewin. Deep investor network and international partnerships. Focus on food processing, product development, scaling.",,,nl95@njaes.rutgers.edu, hartmant@njaes.rutgers.edu,Nolan Lewin - Executive Director (nl95@njaes.rutgers.edu) Phone: +1 (856) 391-7603 OR Dr. Thomas Hartman (hartmant@njaes.rutgers.edu) +1 (848) 932-5543,"Bridgeton location: 450 East Broad Street, Bridgeton, NJ 08302. New Brunswick location at Food Science Building. Part of NJCERN."
UNIVERSITIES,University of Wisconsin-Madison - Center for Dairy Research,USA (Wisconsin),"World-leading product development, contract research, and food processing innovation. Pilot plant facilities available for fee-for-service. CDR partners with industry for special projects, troubleshooting, and manufacturing optimization.",,,communications@cdr.wisc.edu, foodsci@wisc.edu,Center for Dairy Research (communications@cdr.wisc.edu) Phone: 608-262-5970 OR Food Science Dept (foodsci@wisc.edu) 608-265-2729,"Babcock Hall, 1605 Linden Dr., Madison, WI 53706. Three pilot plant facilities. Babcock Dairy Plant available for industry projects."
ACCELERATORS & INCUBATORS,EIT Food - Accelerator Network,Europe (Pan-European),"Europe's leading food innovation network with Accelerator Network supporting 348+ agrifood startups since 2018. Connects startups with corporate partners (Bayer, Corteva, Unilever, Mondelēz, Mars). Equity-free support. All three challenges relevant.",,,christoph.mandl@eitfood.eu,Dr. Christoph Mandl - Programme Manager (christoph.mandl@eitfood.eu) Phone: +49 (0)172 436 9825 OR Benoit Buntinx - Director Business Creation,Multiple European innovation hubs. 2025 cohort: 65 startups selected. Corporate pilots and market adoption support.
ACCELERATORS & INCUBATORS,Foodvalley NL,Netherlands (Wageningen),"Non-profit agrifood innovation cluster with 215+ company network. Focus on Protein Shift, Food & Health, Circular Agrifood. Lead partner of Food Innovation Hub Europe. Bespoke scouting and partnership facilitation. Relevant to all challenges.",,,emmanuel.anom@foodvalley.nl, facilities@foodvalley.nl,Emmanuel Anom - Lead Shared Facilities (emmanuel.anom@foodvalley.nl) OR General: facilities@foodvalley.nl,"Address: Bronland 10F, 6708 WH, Wageningen. Partners with EIT Food. SME Innovation Voucher program available."
ACCELERATORS & INCUBATORS,StartLife,Netherlands (Wageningen),European top agrifoodtech accelerator. Growing food & agri startups into leading enterprises. Cohort-based acceleration with hands-on support. Located at Wageningen Campus alongside world's #1 food science university. All challenges relevant.,,,info@startlife.org,Jan Meiling - Managing Director (LinkedIn searchable) OR Loet Rammelsberg - Program Director (LinkedIn searchable),"Office: Plus Ultra II, Bronland 10, Wageningen Campus. Part of Wageningen ecosystem with access to research facilities."
ACCELERATORS & INCUBATORS,Nordic Foodtech VC,Nordics (Denmark/Sweden/Finland),"Early-stage VC fund (€42M) dedicated to food innovation across Nordics and Baltics. Invests in food production technologies including biotechnology, mobile tech. Portfolio spans Finland, Sweden, Denmark, Estonia. Relevant to all challenges.",,,hello@nordicfoodtech.vc,General Inquiries ([email protected]),Founded 2020. 13 portfolio companies. Focus on early-stage food technology innovations. Regional expertise in Nordic/Baltic markets.
INDUSTRY ASSOCIATIONS,KTN (Innovate UK Business Connect) - AgriFood,UK (Harwell),"UK's Knowledge Transfer Network helping businesses access expertise, funding, and connections for AgriFood innovation. Experts in livestock, aquaculture, food, crops. 45+ years facilitating Knowledge Transfer Partnerships. All challenges relevant.",,,enquiries@ktn-uk.org,Contact Form: www.ktninnovationexchange.co.uk/contact OR AgriFood program: ktn-uk.co.uk/programmes/food-innovation-network,"Address: Suite G, First Floor, The HQ, Runway Buildings, Harwell Science Campus, Didcot. Part of Innovate UK."
UNIVERSITIES,Wageningen University & Research,Netherlands (Wageningen),"World's #1 ranked university for agriculture and food science. Food & Biobased Research develops innovations for healthy foods, sustainable food chains, bio-based materials. Extensive public-private partnerships. All three challenges directly relevant.",,,contact@wur.nl,Contact our experts page: www.wur.nl/en/value-creation-cooperation/partnerships-collaborations/contact-our-experts.htm,Account managers for different regions. Employee database to find specific experts. Collaborates closely with Foodvalley NL cluster.
UNIVERSITIES,Imperial College London - Enterprise,UK (London),"Premier UK university with food science partnerships (Dairy Crest, Danone, Nestlé). Centre for Synthetic Biology, MRC Centre of Molecular Bacteriology. Industry Partnerships & Commercialisation team with deep commercial acumen. Challenges A and C relevant.",,,partnerships@imperial.ac.uk,Industry Partnerships: www.imperial.ac.uk/enterprise/business/industry-partnerships-and-commercialisation/,AGRI-net facilitates translation of tools for crop sustainability. Centre for Translational Nutrition and Food Research active.
UNIVERSITIES,ETH Zurich,Switzerland (Zurich),"Leading Swiss university emphasizing sustainability, quality, safety in food manufacturing and packaging. Future Food Initiative exploring alternatives to plastics. ETH transfer handles technology commercialization. Challenge A directly relevant.",,,transfer@sl.ethz.ch,ETH transfer for technology commercialization OR IFNH (Schmelzbergstrasse 9,8092 Zürich)
UNIVERSITIES,University of Cambridge - Cambridge Enterprise,UK (Cambridge),World-leading university with Cambridge Enterprise technology transfer office. Ceres Agri-Tech Knowledge Exchange Partnership for agri-tech commercialization. Strong food science and materials science programs. All challenges relevant.,,,partnerships@enterprise.cam.ac.uk,Business Partnerships Team: www.cam.ac.uk/business-and-enterprise/contact-us OR Cambridge Enterprise: Hauser Forum,Ceres Agri-Tech Knowledge Exchange catalyzes early-stage technology transfer. Professional consultancy support for partnerships.
UNIVERSITIES,Technical University Munich (TUM) - FACIT,Germany (Munich),Leading German food technology university. FACIT (Food and Agro Center for Innovation and Technology) accompanies entrepreneurial activities. TUM Venture Lab Food/Agro/Biotech. EIT Food partnership. All challenges relevant.,,,info@facit.life,FACIT: www.tcf.tum.de/en/facit/home/ OR EIT Food partnership page,TUM School of Life Sciences Weihenstephan. FEMIB Project strengthens Bavarian AgriFoodTech ecosystem. 160+ international partnerships.
UNIVERSITIES,University of Copenhagen - Food Science,Denmark (Copenhagen),Scandinavia's largest food research university. Tech Transfer Office handles IP commercialization. External Partnerships section matches company needs with university expertise. Strong industry collaboration track record. All challenges relevant.,,,partnerships@adm.ku.dk,Tech Transfer Office: +45 353-26603 OR External Partnerships: partnerships@adm.ku.dk,"Address: Tagensvej 16A, 2200 København N. UCPH Lighthouse innovation hub. Legal team for Research and IP available."
UNIVERSITIES,University College Dublin (UCD) - NovaUCD,Ireland (Dublin),#1 globally on citations in agricultural science and food science. NovaUCD nurtures high-tech startups. Ranked 24th worldwide in agriculture/food research. €31.5M sustainable food Co-Centre. Partnership with UC Davis. All challenges relevant.,,,miceal.whelan@ucd.ie,Micéal Whelan - Communications Manager Innovation (miceal.whelan@ucd.ie) Phone: +353 1 716 3712,School of Agriculture and Food Science ranked 24th globally. 580-acre UCD Lyons Research Farm. Institute of Food and Health.
ACCELERATORS & INCUBATORS,SGInnovate,Singapore,"Government-owned deep tech innovation platform supporting biotech, agrifood, sustainability, and advanced manufacturing startups. Focus on early-stage deep technology companies solving global challenges. Relevant to all challenges, especially novel food technologies.",,,contact@sginnovate.com,Contact: www.sginnovate.com/contact-us OR DTC Contact: www.sginnovate.com/dtc-contact,"Corporate office: 32 Carpenter St, Singapore 059911. Deep Tech Community programs available. Active in biotech and agrifood."
UNIVERSITIES,A*STAR Singapore Institute of Food and Biotechnology Innovation (SIFBI),Singapore,"Translational research institute providing single touchpoint for industry in food, nutrition, biotechnology, food safety. Partnership programs with public and private sectors. Major collaborations with Monell, NUS, Singapore Polytechnic. All challenges relevant.",,,info@sifbi.a-star.edu.sg, Huang_Hongxiang@sifbi.a-star.edu.sg,General: info@sifbi.a-star.edu.sg OR Partnerships: Huang_Hongxiang@sifbi.a-star.edu.sg,"Phone: (65) 6826 6111. Address: 2 Fusionopolis Way, Innovis #08-01, Singapore 138634. Hours: M-F 8:30am-6pm"
UNIVERSITIES,National University of Singapore (NUS) - Food Science & Technology,Singapore,"Leading Asian university with 17 patents, 9 license agreements, 9 spin-offs in food science. Bezos Centre for Sustainable Protein ($30M grant). NUS Enterprise/TTI handles commercialization. Strong alternative protein focus. All challenges relevant.",,,food@nus.edu.sg,Department: food@nus.edu.sg Phone: +65 6516 1656 OR NUS Enterprise/TTI for commercialization,"Address: S14 Level 6 Science Drive 2, Singapore 117542. Innovation 4.0 Building, 3 Research Link #05-01 for TTI."
INDUSTRY ASSOCIATIONS,Enterprise Singapore - FoodInnovate,Singapore,"Government agency leading FoodInnovate initiative positioning Singapore as Asia's food/nutrition hub. Partners with GROW accelerator, AgFunder, EDB. Supports food security strategy and global investment. All challenges relevant.",,,contact@enterprisesg.gov.sg,Website: www.enterprisesg.gov.sg OR Industry Partners page for agritech,"Collaborates with Temasek, Singapore Food Agency. Organizes Asia-Pacific Agri-Food Innovation Summit. Contact through official website."
UNIVERSITIES,Korea Food Research Institute (KFRI),South Korea (Seongnam),"National research institute established 1965 under Ministry of Food and Drug Safety. Expertise in high-pressure processing, modified atmosphere packaging for shelf life extension. Government-funded R&D for food sector. Challenge A and B highly relevant.",,,webmaster@kfri.re.kr,Contact through National Research Council of Science and Technology OR Website: www.kfri.re.kr/?r=en,"Active international collaborations. MOU with universities for research funding. Focus on food quality, safety, and innovative preservation methods."
ACCELERATORS & INCUBATORS,Hong Kong Science and Technology Parks Corporation (HKSTP),Hong Kong (China),"Innovation platform focusing on Green Technology and Biomedical Technology clusters relevant to food innovation. Provides partnerships, incubation, and commercialization support. Strong regional presence. All challenges relevant.",,,partnerships@hkstp.org, enquiry.marketing@hkstp.org,Partnerships: partnerships@hkstp.org OR General: enquiry.marketing@hkstp.org Phone: +852 2629 1818,"Address: 5/F, Building 5E, 5 Science Park East Avenue, Hong Kong Science Park. Also operates Hong Kong-Shenzhen Innovation Park."
UNIVERSITIES,National Agriculture and Food Research Organization (NARO),Japan,"Japan's leading agriculture and food research organization under Ministry of Agriculture, Forestry and Fisheries. Extensive international partnerships (INRAE France, CGIAR). Focus on climate adaptation, food security, robotics. All challenges relevant.",,,international@naro.go.jp,International Relations Office: Contact through www.naro.go.jp/english/global-initiatives/,Hosts International Symposium on Food and Health annually. MOU partnerships globally. Recent focus on fermentation technology and health.
UNIVERSITIES,Temasek Life Sciences Laboratory (TLL),Singapore,Leading agri-food biotechnology research institute with international partnerships. Temasek Life Sciences Accelerator (TLA) commercializes innovations. Focus on improving food availability and nutrition for urban populations. All challenges relevant.,,,partnering@tll.org.sg, hello@tla.com.sg,Research partnerships: [email protected] OR TLA commercialization: hello@tla.com.sg,Website: www.tll.org.sg. Collaborates with world-class institutes and multinationals. Decarbonising Rice Project contact: [email protected]
UNIVERSITIES,CSIRO - Food Innovation Centre,Australia,"Australia's national science agency with extensive international partnerships. CSIRO-A*STAR Innovation in Food for Sustainability Program. Global collaborations (India, Japan, US, UK, Vietnam). All challenges relevant, especially sustainability.",,,IF4S@csiro.au,IF4S Program: IF4S@csiro.au OR General: Phone 1300 363 400 / +61 3 9545 2176,"Website: research.csiro.au/food-innovation/. Works with manufacturers globally on innovation, technology support. Strong international presence."
UNIVERSITIES,Seoul National University - Food Science and Biotechnology,South Korea (Seoul),"Top Korean university with Department of Agricultural Biotechnology including Food Science program. Research in AI technology, material standardization, biotechnology for phytoceuticals, food microbiome. All challenges relevant.",,,agribio@snu.ac.kr,Department: +82-2-880-4850 OR +82-2-873-5095 OR Website: food.snu.ac.kr/en/,"Research on high value-added biomaterials, enzyme technology, food microbiology. Contact technology transfer office for commercialization."
UNIVERSITIES,Institut Agro,France (Montpellier/Dijon/Rennes/Angers),"French scientific establishment under Ministry of Agriculture. 4,500 students, 300 teacher-researchers, 39 research units, 187 international partnerships. AgroValoMéditerranée business incubation site. Member of Euroleague for Life Sciences. All challenges relevant.",,,contact@supagro.fr,Contact: contact@supagro.fr Phone: +33 (0)4 99 61 22 00,"Address: 2 place Pierre Viala, 34060 Montpellier. Six campuses. ECOTROPHELIA student food innovation contest. Partners with INRAE."
UNIVERSITIES,INRAE (National Research Institute for Agriculture Food and Environment),France (National),"France's leading agriculture, food and environment research institute. 450+ socio-economic partners, 15 high innovation potential fields, 4 Carnot Institutes. Extensive international partnerships (FAO, WHO, CGIAR, FAPESP). All challenges relevant.",,,partnerships@inrae.fr,Collaboration: www.inrae.fr/en/collaborate OR International: www.inrae.fr/en/international,Regional contact example: philippe.hinsinger@inrae.fr. LIAs (international associated laboratories) for joint projects. Partnership Officers available.
ACCELERATORS & INCUBATORS,Future Food Institute,Italy (Bologna),"Italian social enterprise with global horizons. Living Labs in Italy, US, Japan. Affiliate centers in China, Singapore, Germany. Future Food Accelerator facilitates open innovation between startups, business, global food ecosystem. All challenges relevant.",,,info@futurefoodinstitute.org,General: info@futurefoodinstitute.org Phone: +39 051 656 9619 OR Pollica office: +39 3336417696,"Address: Piazza Giuseppe Verdi, 2, 40126 Bologna. Prosperity-driven alliances with government and industry. Sustainable food systems focus."
ACCELERATORS & INCUBATORS,Station F - ShakeUp Factory,France (Paris),"World's largest startup facility. ShakeUp Factory is exclusive food acceleration program at Station F. Oversees French hub of EIT Food. Innovation hub combining accelerator, open-innovation, experts network. All challenges relevant.",,,contact@stationf.co,Contact through: stationf.co OR ShakeUp Factory: shakeupfactory.co/startups,"1,000+ startups. Partners: Google, LVMH, Meta, HEC. 13th arrondissement Paris. ShakeUp Factory partners with Bridge2Food."
UNIVERSITIES,Fraunhofer IVV (Institute for Process Engineering and Packaging),Germany (Freising/Dresden),"Leading R&D for high-quality food and packaging. Focus on food technology, recycling, environment. CIRCULAR FoodPack coordinator. 13 Fraunhofer institutes in food alliance. Challenge A (packaging) highly relevant.",,,esra.kucukpinar@ivv.fraunhofer.de, info@ivv.fraunhofer.de,General: +49 8161 491-0 OR Dr. Esra Kücükpinar (CIRCULAR FoodPack): esra.kucukpinar@ivv.fraunhofer.de +49 (0)8161 491-507,"Address: Giggenhauser Str. 35, 85354 Freising. Dresden division: Heidelberger Str. 20, 01189. 120+ industrial partners. www.ivv.fraunhofer.de"
UNIVERSITIES,University College Cork (UCC),Ireland (Cork),"Top Irish university for industry collaboration (Knowledge Transfer Ireland). School of Food and Nutritional Sciences recognized for research in food packaging, ingredients, supply chain. UCC Innovation Office handles commercialization. All challenges relevant.",,,uccinnovation@ucc.ie, industry@ucc.ie,UCC Innovation: uccinnovation@ucc.ie +353 (0)21 4205880 OR Business & Industry: industry@ucc.ie,"Western Gateway Building, Western Road, Cork T12 XF62. Research Office: uccresearch@ucc.ie +353 (0)21 4903500. Strong food business programs."
UNIVERSITIES,DTU National Food Institute,Denmark (Søborg),335 staff across five departments. Scientific advice to Danish authorities and international organizations. Close collaboration with Danish and international food companies. Strong technology transfer capability. All challenges relevant.,,,food@food.dtu.dk,General: food@food.dtu.dk Phone: +45 7234 7625,"Address: Mørkhøj Bygade 19, DK 2860 Søborg. Head of Studies contact: Marianne Uhre Jakobsen. www.food.dtu.dk"
UNIVERSITIES,Aarhus University - Department of Food Science,Denmark (Aarslev),"Top 100 university with extensive business collaborations. Centre for Innovative Food Research (iFOOD). EIT Food partner. Four strategic themes: Plant/food/environment, Climate friendly foods, Circularity, Food/health. All challenges relevant.",,,derekv.byrne@food.au.dk,Derek V. Byrne: derekv.byrne@food.au.dk Phone: +45-2878 2840,"Address: Kirstinebjergvej 10, DK-5792 Aarslev. Website: food.au.dk. Strong focus on dissemination and implementation for industry."
INDUSTRY ASSOCIATIONS,Vinnova (Sweden's Innovation Agency),Sweden (Stockholm),Government agency enhancing Sweden's competitive edge and innovation capacity. Innovation platforms for sustainable food systems. Funding opportunities and collaboration platforms for green transition in food sector. All challenges relevant.,,,registrator@vinnova.se,Contact through: www.vinnova.se/en/,Eight innovation platforms for sustainable food systems. Creates conditions to increase pace of food transition. Sweden Foodtech ecosystem support.
